NAME,NATIVE_AMERICAN_NAME,MEANING,LOCATION,TRIBE,COMMENT,COUNTY,LATITUDE,LONGITUDE,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor
Apache Fort,ti'ihiineniicebtiit,Apache Fort,Upper Beaver Meadows,Arapaho,ca. 1838 battle with Apache,Larimer,40.36975097,-105.6153989,1,{0F4B4710-BA07-473B-8563-492E44083783},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-29 22:51:55,Seth.Greer_ucboulder
Baker Mountain/Pass,heeyeisoono' toh'ou3i'i,Where Sparrow Hawk's Young Hang,Kawuneeche Valley,Arapaho,,Grand,40.37958345,-105.90418,2,{6F1474AE-2CC9-42A8-919E-724372C1CC74},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-14 20:18:33,Seth.Greer_ucboulder
Baker-Brooks Meadow,heebe3iboo3etiit,Big Battle,Kawuneeche Valley,Arapaho,1863 Battle site a mile below Arapahoe Race Course (niitohnonouhti' or Hendricks Flats),Grand,40.35843221,-105.8614306,3,{B0339B7A-C8E7-4455-8C9A-7E8933388020},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-07-03 16:50:49,Seth.Greer_ucboulder
Glacier Basin,heetohso'owu',Where the Land is Flat,Glacier Basin ,Arapaho,,Larimer,40.32019643,-105.5955161,4,{44DCE2FC-171B-4DEE-BA4C-9911CB09B227},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-29 23:08:09,Seth.Greer_ucboulder
Bearpaws Peaks,woxse'eihtoo,Bear Paw,North Park,Arapaho,Area includes Stones Peak and Mt. Julian,Jackson,40.42350938,-105.9721365,5,{9C35FF02-878E-4622-BBCB-B5CE56E996B6},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-29 23:09:35,Seth.Greer_ucboulder
Beaver Creek,bih'ihiikoh'owu',Deer Creek,Kawuneeche Valley,Arapaho,,Grand,40.39224092,-105.8359631,6,{09004D5D-3144-496D-A111-8ED4E0C8AD44},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-14 20:18:33,Seth.Greer_ucboulder
Bierstadt Lake,ni'ec honoute',Hanging Lake,Glacier Basin ,Arapaho,,Larimer,40.3246848,-105.6242296,7,{076B89BD-CA3B-495F-8979-B02DF926B117},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-29 23:11:18,Seth.Greer_ucboulder
Big Creek Lake,ni'eciikoh'owu',Lake Creek,North Park,Arapaho,Near Buffalo Pass,Jackson,40.65888098,-106.7320868,8,{DBEEF6B9-594B-42CB-8E27-9544A9A44F82},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-14 20:18:33,Seth.Greer_ucboulder
Big Meadows/Tonahutu,toonoxutee',Big Meadow,Big Meadow,Arapaho,,Grand,40.30828778,-105.8089786,9,{F2594172-291D-4515-95B6-0F181FD82671},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-29 23:14:09,Seth.Greer_ucboulder
Big Thompson River,hiicooo,The Pipe River,Estes Park,Arapaho,"""Where pipes were made"" aka ""Sage Chicken""",Larimer,40.35493772,-105.5553114,10,{EE67FD4B-80B0-47F7-9273-8C53EB2019CC},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-29 23:15:54,Seth.Greer_ucboulder
Blue River,biisee3 tih'iikou'uni',Where Blue Paint was Gathered,Middle Park,Arapaho,Souce of paint near Kremmling,Grand,40.02655877,-106.3859682,11,{C5449108-A101-4593-9AAA-A7E9F3D81D92},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-14 20:18:33,Seth.Greer_ucboulder
Boulder Brook,ce'eiinoonoohoet,Rawhide Dish,Estes Park,Arapaho,On north side of Longs Peak,Larimer,40.29513128,-105.6181217,12,{41154196-25C6-401D-94D9-D9CE3E8DC4A2},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-29 23:17:24,Seth.Greer_ucboulder
Buckhorn Creek,coo'oo'oe',Thick Brush,North Park,Arapaho,,Jackson,40.23950872,-106.3093161,13,{D2D41424-D5B1-4E82-BA1A-2EF593D27949},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-14 20:18:33,Seth.Greer_ucboulder
Buffalo Mountain,hii3einoteyoo',Buffalo Mountain,North Park,Arapaho,,Jackson,40.51117693,-106.7354084,14,{FD3964C6-B0D0-4190-AB91-B5A82D6B7643},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-14 20:18:33,Seth.Greer_ucboulder
Buffalo Pass,heneeceibooo,Buffalo Trail,North Park,Arapaho,Fasting location,Jackson,40.54255421,-106.6842026,15,{84521570-4D51-4027-BF1E-92FF06521300},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-14 20:18:33,Seth.Greer_ucboulder
Bull Frog Rock and Sheep Creek,niiinon,The Tipi,North Estes Park,Arapaho,Location unknown  UTM to show it was somewhere in area,Larimer,40.41376687,-105.4745032,16,{D80E93F6-2025-4C87-A2B6-00CBDCA6E40A},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-14 20:18:33,Seth.Greer_ucboulder
Cabin Creek ,woo3ee3i' hebesii,Lots of Beaver ,Tahosa Valley,Arapaho,,Larimer,40.24246175,-105.5467494,17,{2E24D532-2090-45B1-8A4C-8E3BF6215AFA},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-14 20:18:33,Seth.Greer_ucboulder
Chiefs Head Peak,hookuhu'eeno,Heads,Indian Peaks,Arapaho,,Boulder,40.24762592,-105.6395585,18,{BD36B8E4-B8BD-4780-93B5-182F74DC4E75},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-14 20:18:33,Seth.Greer_ucboulder
Clark's Peak,hiwoxuuhuunisoo',Elks Horn,Never Summer Range,Arapaho,,Grand,40.60492123,-105.9292421,19,{6AD6B3C2-031A-4B97-906D-477D6E325FD9},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-14 20:18:33,Seth.Greer_ucboulder
Crystal Mountain,hinooox hoono'uu,Mica Hill,North Estes Park,Arapaho,,Larimer,40.5369057,-105.4298272,20,{BEA19E82-5A8B-405F-B989-B693902A5278},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-14 20:18:33,Seth.Greer_ucboulder
Cub Lake,tihnoo'oenootee' ni'eci',Where there was a Camp around a Lake,Moraine Park,Arapaho,,Larimer,40.34429663,-105.6425429,21,{BF9F8116-CE1A-4891-BCC6-C721E62EB3EF},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-29 23:31:55,Seth.Greer_ucboulder
Denver,niineniiniicie,Tallow River,Denver,Arapaho,,,39.7392,-104.9903,22,{CFDCC7B2-BF83-40C9-93EA-B3E04DB8E5CC},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-14 20:18:33,Seth.Greer_ucboulder
Elk River,neetookooneeniiciihehe',Drowning River,North Park,Arapaho,,Jackson,40.48958855,-106.9683514,23,{CD5492AA-DAE2-4161-8CD5-6EFCB3C10C30},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-14 20:18:33,Seth.Greer_ucboulder
Estes Cone,neneesoteyou'u,Three Mountains,Estes Park,Arapaho,"Names actually refers to Estes Cone, Wind River Cliffs, and a smaller adjacent mountain.",Larimer,40.29337764,-105.5664668,24,{3FAE2523-1920-4711-8B81-2322363E846C},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-29 23:43:02,Seth.Greer_ucboulder
Estes Valley,heetko'einoo',Where it is Circular,Estes Park,Arapaho,,Larimer,40.3755245,-105.5202587,25,{4C04422C-FF7D-4CA6-B906-F7AA4A674881},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-29 23:44:21,Seth.Greer_ucboulder
Fall River,hecesiicooo,Little Pipe River,Estes Park,Arapaho,,Larimer,40.4098261,-105.6511093,26,{38666931-644E-45D6-B28E-DB0E4BD63990},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-14 20:18:33,Seth.Greer_ucboulder
Flatiron Mountain,neenowuxootei'i,They Face to the North,Cache La Poudre,Arapaho,Guess: back of Mummy Range bordering the C La P,Larimer,40.48248452,-105.7106262,27,{FE241AD0-27F4-4FC0-B903-42F9C633A909},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-14 20:18:33,Seth.Greer_ucboulder
Flattop Mountain,heebe3booo,Big Trail,Continental Divide,Arapaho,,Larimer,40.30679989,-105.6895647,28,{3B992E94-362D-4B81-A0D5-92581FA2ACD0},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-14 20:18:33,Seth.Greer_ucboulder
Giant Track Mountain,hinenitee tohnooxeihit,Giant Tracks,Estes Park,Arapaho,,Larimer,40.3452472,-105.5489443,29,{51DDB99F-1880-43CA-AFD9-25D26BC8589B},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-14 20:18:33,Seth.Greer_ucboulder
Grand Lake,beteeni'ec,Holy Lake,west of RMNP,Arapaho,,Grand,40.2522,-105.8231,31,{3ACC97FE-4365-4E01-A8CF-CE85B521AEC9},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-14 20:18:33,Seth.Greer_ucboulder
Grand Lake,heebe3ni'ec,Big Lake,west of RMNP,Arapaho,,Grand,40.2522,-105.8231,32,{43C0C56C-165C-494F-8BC1-B7E7A3D2AC1D},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-14 20:18:33,Seth.Greer_ucboulder
Grand Lake area,ce'eiinox,Game Bag,west of RMNP,Arapaho,,,40.2522,-105.8231,33,{21C34396-C903-4634-90B4-F037387FF424},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-14 20:18:33,Seth.Greer_ucboulder
Green Mountain ?,nookhoosei'iini',Sage Hills,Kawuneeche Valley,Arapaho,Hills between Big Meadows Fork and North Fork of Grand,Grand,40.29495336,-105.8206088,34,{F52EF205-1947-4FBD-8799-C34F2C2C5F22},2022-06-14 20:18:33,Seth.Greer_ucboulder,2023-09-25 23:59:34,Katherine.Ide_ucboulder
Hallett Peak,bonoh'ooonoteyoo',Thunder Peak,Continental Divide,Arapaho,,Grand,40.30073749,-105.6848788,35,{25C8B61B-18D3-457B-984B-1A6BEDD3F7A6},2022-06-14 20:18:33,Seth.Greer_ucboulder,2022-06-14 20:18:33,Seth.Greer_ucboulder
